LR,DROPOUT,MSE
0.03,0.2,0.000869239
0.03,0.2,0.000795196
0.03,0.2,0.000744037
0.03,0.2,0.001367722
0.03,0.2,8.68422E-05
0.03,0.2,8.01291E-05
0.03,0.2,2.8257E-05
0.03,0.2,2.90417E-05
0.03,0.2,2.49654E-05
0.03,0.2,0.000307932
0.03,0.2,8.10486E-05
0.03,0.2,1.91701E-05
0.03,0.2,1.91762E-05
0.03,0.2,2.77454E-05
0.03,0.2,0.000239604
0.03,0.2,7.10676E-05
0.03,0.2,2.32055E-05
0.03,0.2,2.74793E-05
0.03,0.2,2.07642E-05
0.06,0.25,0.000190446
0.06,0.25,0.000280767
0.06,0.25,0.000230688
0.06,0.25,0.000360729
0.06,0.25,0.000319087
0.06,0.25,0.000127502
0.06,0.25,0.000127
0.06,0.25,0.000131076
0.06,0.25,8.02776E-05
0.06,0.25,0.000124421
0.06,0.25,5.30994E-05
0.06,0.25,0.000289798
0.06,0.25,0.00020401
0.06,0.25,6.92265E-05
0.06,0.25,6.1138E-05
0.1,0.2,6.75887E-05
0.1,0.2,1.62289E-05
0.1,0.2,3.79499E-05
0.1,0.2,0.000400169
0.1,0.2,0.000636703
0.1,0.2,0.000400768
0.1,0.2,0.001553079
0.1,0.2,0.000519536
0.1,0.2,0.000278229
0.1,0.2,0.000734927
0.1,0.2,0.000531407
0.1,0.2,0.000305688
0.05,0,3.58227E-05
0.05,0,1.79777E-05
0.05,0,3.542E-05
0.05,0,0.00030687
0.05,0,0.000101421
0.05,0,0.00016192
0.05,0,0.00019007
0.05,0,0.000445854
0.05,0,0.000119715
0.05,0,7.20777E-05
0.05,0,0.000447878
0.05,0,1.6509E-05
0.05,0,0.000135714