LR,DROPOUT,MSE,PEARSON,r
0.03,0.2,0.000869239,0.437074658,100
0.03,0.2,0.000795196,0.48027607,100
0.03,0.2,0.000744037,0.409256618,100
0.03,0.2,0.001367722,0.59227757,100
0.03,0.2,8.68422E-05,0.279550937,100
0.03,0.2,8.01291E-05,0.968729713,100
0.03,0.2,2.8257E-05,0.962036772,100
0.03,0.2,2.90417E-05,0.979975976,100
0.03,0.2,2.49654E-05,0.982118081,100
0.03,0.2,0.000307932,0.913841589,100
0.03,0.2,8.10486E-05,0.963679827,100
0.03,0.2,1.91701E-05,0.985064383,100
0.03,0.2,1.91762E-05,0.984991716,100
0.03,0.2,2.77454E-05,0.982639233,100
0.03,0.2,0.000239604,0.986347448,100
0.03,0.2,7.10676E-05,0.931742042,100
0.03,0.2,2.32055E-05,0.968538594,100
0.03,0.2,2.74793E-05,0.982807839,100
0.03,0.2,2.07642E-05,0.985372636,100
0.06,0.25,0.000190446,0.634919399,100
0.06,0.25,0.000280767,0.189405221,100
0.06,0.25,0.000230688,0.620660418,100
0.06,0.25,0.000360729,0.593916173,100
0.06,0.25,0.000319087,0.804540653,100
0.06,0.25,0.000127502,0.905482256,100
0.06,0.25,0.000127,0.933063387,100
0.06,0.25,0.000131076,0.907420592,200
0.06,0.25,8.02776E-05,0.95631005,200
0.06,0.25,0.000124421,0.942424714,200
0.06,0.25,5.30994E-05,0.966933966,200
0.06,0.25,0.000289798,0.904770817,200
0.06,0.25,0.00020401,0.907894361,200
0.06,0.25,6.92265E-05,0.968589344,200
0.06,0.25,6.1138E-05,0.960307274,200
0.1,0.2,6.75887E-05,0.554014232,200
0.1,0.2,1.62289E-05,0.941176317,200
0.1,0.2,3.79499E-05,0.814810331,200
0.1,0.2,0.000400169,0.787598673,200
0.1,0.2,0.000636703,0.572531008,200
0.1,0.2,0.000400768,0.787598673,200
0.1,0.2,0.001553079,0.123779532,600
0.1,0.2,0.000519536,0.668862534,700
0.1,0.2,0.000278229,0.794806436,900
0.1,0.2,0.000734927,0.330604127,500
0.1,0.2,0.000531407,0.44852328,500
0.1,0.2,0.000305688,0.772692972,500
0.05,0,3.58227E-05,0.100937536,500
0.05,0,1.79777E-05,0.477627307,500
0.05,0,3.542E-05,0.614891451,500
0.05,0,0.00030687,0.061644675,500
0.05,0,0.000101421,0.807388879,500
0.05,0,0.00016192,0.900252009,500
0.05,0,0.00019007,0.768536782,500
0.05,0,0.000445854,0.149493647,500
0.05,0,0.000119715,0.768536782,500
0.05,0,7.20777E-05,0.944202489,500
0.05,0,0.000447878,0.069504501,500
0.05,0,1.6509E-05,0.966971428,500
0.05,0,0.000135714,0.904146923,500
,,,,
,,,,